Frame_Number,Time,TouchLeft,TouchRight,Box_FencerID1,Box_FencerID2,SkeletonID1,SkeletonID2
235,1.9602916666666668,0,0,"1116,793,1380,1353","606,832,915,1393","1240,857;1225,920;1185,990;1112,1008;1255,1065;1237,1175;1241,1300;1323,914;1366,1005;1356,1073;1329,1066;1314,1181;1302,1301","765,900;707,953;673,1032;613,1059;723,1115;743,1239;807,1352;828,957;846,1051;779,1102;797,1115;731,1243;778,1351"
236,1.9686333333333335,0,0,"1108,793,1377,1353","593,828,900,1390","1237,858;1223,921;1177,990;1103,1007;1255,1063;1238,1172;1241,1299;1321,914;1362,1004;1352,1074;1329,1064;1315,1178;1303,1299","748,902;685,958;660,1034;601,1052;711,1124;718,1237;783,1351;813,957;838,1042;774,1068;783,1121;715,1248;771,1347"
237,1.976975,0,0,"1101,794,1375,1354","576,826,883,1390","1236,861;1224,923;1171,989;1097,1006;1259,1064;1239,1174;1237,1304;1317,915;1358,1000;1348,1070;1328,1064;1317,1180;1308,1303","737,907;676,961;650,1029;592,1044;701,1126;708,1238;766,1350;801,960;823,1038;764,1056;771,1122;711,1246;772,1346"
238,1.9853166666666666,0,0,"1097,792,1378,1354","566,825,873,1390","1234,862;1222,924;1164,989;1087,1004;1260,1065;1239,1174;1238,1304;1315,915;1355,998;1341,1065;1329,1064;1315,1179;1309,1303","730,901;669,956;647,1020;587,1032;694,1122;698,1235;758,1347;791,955;814,1031;746,1042;761,1119;698,1244;766,1343"
239,1.9936583333333333,0,0,"1091,792,1378,1355","557,824,862,1384","1230,862;1218,924;1160,987;1083,1005;1259,1066;1241,1176;1242,1305;1314,916;1358,999;1354,1068;1330,1065;1319,1182;1311,1305","718,898;662,954;639,1020;580,1034;685,1121;696,1237;763,1353;780,953;804,1031;743,1052;755,1117;694,1246;763,1350"
240,2.0020000000000002,0,0,"1086,795,1377,1355","551,823,854,1382","1228,864;1219,923;1150,985;1078,1004;1269,1063;1253,1179;1251,1314;1310,912;1351,990;1351,1049;1331,1059;1314,1179;1308,1312","694,896;639,952;634,1013;572,1021;669,1119;671,1232;752,1350;766,951;801,1025;741,1036;746,1116;681,1246;768,1348"
241,2.0103416666666667,0,0,"1079,797,1376,1357","544,823,846,1381","1223,863;1212,923;1143,984;1065,1000;1267,1064;1252,1176;1256,1310;1306,911;1352,986;1346,1036;1332,1060;1312,1176;1304,1311","686,907;608,953;589,1004;555,1035;647,1126;681,1241;772,1349;757,960;791,1020;763,1012;730,1120;651,1251;749,1343"
242,2.018683333333333,0,0,"1073,800,1375,1357","535,818,838,1378","1221,864;1209,922;1140,979;1066,1000;1270,1063;1258,1174;1258,1307;1305,910;1355,981;1369,1028;1334,1058;1315,1175;1302,1307","678,891;616,954;618,1025;562,1030;646,1125;646,1221;729,1345;749,947;783,1019;724,1017;725,1119;664,1246;769,1340"
243,2.027025,0,0,"1067,797,1379,1359","530,813,834,1376","1224,871;1214,926;1140,975;1068,995;1281,1064;1261,1171;1252,1309;1304,912;1347,969;1368,1019;1337,1056;1325,1175;1317,1305","669,886;616,949;615,1030;547,1028;639,1123;618,1220;686,1342;734,945;767,1027;677,1030;714,1120;650,1245;756,1336"
244,2.0353666666666665,1,0,"1063,800,1379,1358","524,811,830,1376","1213,873;1201,927;1114,973;1036,994;1279,1065;1258,1177;1250,1315;1300,911;1350,967;1376,1009;1337,1057;1317,1178;1309,1310","653,878;612,940;616,1028;540,1032;633,1114;597,1216;661,1338;720,938;758,1029;653,1049;707,1112;642,1239;761,1332"
